group1,group2,mw_u_stat,p_value,q_value_BH_FDR
1,12,3.0,0.004662004662004662,0.024985688710781096
1,2,17.0,0.04342063165592577,0.12157776863659216
1,25,8.0,0.0004190511930450011,0.005866716702630016
1,4,3.0,0.010878010878010878,0.039905269119287996
1,40,1.0,0.003108003108003108,0.024985688710781096
1,50,6.0,1.0251284614103204e-05,0.00028703596919488975
1,6,4.0,0.0037296037296037296,0.024985688710781096
12,2,45.0,0.11788211788211789,0.27505827505827507
12,25,33.0,0.49396284829721365,0.6286799887419083
12,4,15.0,1.0,1.0
12,40,9.0,0.32900432900432897,0.5418894830659536
12,50,50.0,0.39538673886499975,0.5603611971104232
12,6,19.0,0.8356643356643356,0.9749417249417249
2,25,27.0,0.012826693645485427,0.039905269119287996
2,4,15.0,0.2544122544122544,0.46843434343434354
2,40,5.0,0.012654012654012654,0.039905269119287996
2,50,41.0,0.005354076152310235,0.024985688710781096
2,6,16.0,0.0702385849444673,0.1787891253131895
25,4,48.0,0.2566219470244238,0.46843434343434354
25,40,33.0,0.893188854489164,1.0
25,50,155.0,0.9870548998650515,1.0
25,6,61.0,0.4002579979360166,0.5603611971104232
4,40,6.0,0.2222222222222222,0.46843434343434354
4,50,43.0,0.48475164127338033,0.6286799887419083
4,6,17.0,1.0,1.0
40,50,64.0,0.6064907717081629,0.7383365916447201
40,6,25.0,0.26767676767676774,0.46843434343434354
50,6,96.0,0.35397685772498366,0.5506306675721968
